scan_date,ticker,direction,recommended_contract,recommended_dte,recommended_volume,recommended_oi,recommended_spread_pct,overnight_score,premium_score,active_days_20d,median_vol_20d,mean_vol_20d,max_vol_20d,scan_day_vs_mean_ratio,fillable_entry_day,next_day_pct,day2_pct,day3_pct,peak_return_3d,outcome_tier,is_win
2026-04-10,AXON,BEARISH,O:AXON260501P00345000,20,44,1,0.0315,4,1,1,0.0,0.05,1,44.0,False,3.9573350531342144,10.094231760294416,16.25715230264822,0.9654835799515444,flat,False
2026-04-10,AEM,BULLISH,O:AEM260424C00222500,13,18,0,0.0564,4,0,0,0.0,0.0,0,18.0,True,-0.6262834821428571,0.5440011160714285,-1.98857421875,1.906284877232143,directional,True
2026-04-10,AXP,BULLISH,O:AXP260424C00327500,13,1898,2,0.072,4,0,1,0.0,0.1,2,1898.0,True,3.2918683649820575,4.293458199386961,4.963316605612041,6.028706187076356,home_run,True
2026-04-10,BKNG,BEARISH,O:BKNG260501P00176800,20,750,250,0.0081,6,0,1,0.0,37.5,750,20.0,False,2.1849417733194922,4.4160008746613,7.050618264387317,1.6545622403490043,directional,True
2026-04-10,AEO,BULLISH,O:AEO260522C00019500,41,10,0,0.0,2,0,0,0.0,0.0,0,10.0,False,-1.3100440845739387,-3.002180907403539,6.004367228678739,6.113540033065594,home_run,True
2026-04-10,AFL,BULLISH,O:AFL260424C00100000,13,124,31,0.0037,3,0,1,0.0,6.2,124,20.0,True,1.3008124567736536,1.1201467402043788,2.059623628666297,2.44806112205002,directional,True
2026-04-10,AZO,BEARISH,O:AZO260515P03390000,34,10,2,0.0,2,0,3,0.0,0.15,1,10.0,True,2.4492404991509913,2.2752117069189226,3.089096820388001,0.8876386479907831,flat,False
2026-04-10,BJ,BULLISH,O:BJ260515C00085000,34,21,10,0.0735,1,0,1,0.0,0.15,3,21.0,True,0.4961688803206976,-1.067844654618562,-2.168054203168813,1.305143101008865,directional,True
2026-04-10,AVAV,BEARISH,O:AVAV260522P00175000,41,14,2,0.0007,1,0,2,0.0,0.15,2,14.0,False,8.16269718987783,8.235034649711183,10.40507354158987,1.5134653906076112,directional,True
2026-04-10,CLF,BEARISH,O:CLF260424P00009500,13,33,17,0.0533,7,1,10,0.5,1.8,17,18.333333333333332,True,3.3185857587156145,4.535396120189575,6.858405391726883,1.3274327843590026,directional,True
2026-04-10,APPF,BEARISH,O:APPF260515P00140000,34,10,16,0.0,3,1,3,0.0,0.75,10,10.0,True,3.6137883859780477,3.837028280933878,8.036835921830304,0.13952881983505364,flat,False
2026-04-10,ADSK,BEARISH,O:ADSK260501P00210000,20,393,1,0.035,5,0,1,0.0,0.3,6,393.0,True,3.978026729067727,4.6417927845688425,9.553676962334064,0.9292752717119139,flat,False
